user_id,session_code,smartwatch_time_taken,smartwatch_message_length,smartwatch_non_contiguous_errors_per_100_chars,smartwatch_total_changes,smartwatch_erroneous_changes,phone_time_taken,task_name
efe_go,1,3.499,0.0,,,,,Task 1
efe_go,1p,,,,,,6.37,Task 1
efe_go,2,17.313,14.0,7.143,1.0,0.0,,Task 2
efe_go,2p,,,,,,8.67,Task 2
efe_go,2u,18.704,14.0,14.286,,,,Task 2
efe_go,31,60.333,68.0,7.353,4.0,1.0,,Task 3.1
efe_go,31p,,,,,,14.22,Task 3.1
efe_go,31u,61.275,68.0,11.765,,,,Task 3.1
efe_go,32,46.207,75.0,8.0,9.0,1.0,,Task 3.2
efe_go,32p,,,,,,16.85,Task 3.2
efe_go,32u,47.982,75.0,13.333,,,,Task 3.2
efe_v,1,2.836,0.0,,,,,Task 1
efe_v,1p,,,,,,9.03,Task 1
efe_v,2,12.791,14.0,7.143,1.0,0.0,,Task 2
efe_v,2p,,,,,,10.25,Task 2
efe_v,2u,15.421,14.0,14.286,,,,Task 2
efe_v,31,62.014,68.0,14.706,6.0,0.0,,Task 3.1
efe_v,31p,,,,,,18.29,Task 3.1
efe_v,31u,56.522,60.0,18.333,,,,Task 3.1
efe_v,32,59.246,75.0,8.0,8.0,0.0,,Task 3.2
efe_v,32p,,,,,,20.66,Task 3.2
efe_v,32u,56.219,75.0,10.667,,,,Task 3.2
hyungchan_u1,1,5.3,0.0,,,,,Task 1
hyungchan_u1,1p,,,,,,6.05,Task 1
hyungchan_u1,2,19.043,14.0,21.429,0.0,0.0,,Task 2
hyungchan_u1,2p,,,,,,7.01,Task 2
hyungchan_u1,2u,19.939,14.0,28.571,,,,Task 2
hyungchan_u1,31,62.879,68.0,5.882,5.0,0.0,,Task 3.1
hyungchan_u1,31p,,,,,,11.57,Task 3.1
hyungchan_u1,31u,72.4,68.0,13.235,,,,Task 3.1
hyungchan_u1,32,73.837,75.0,4.0,8.0,0.0,,Task 3.2
hyungchan_u1,32p,,,,,,12.29,Task 3.2
hyungchan_u1,32u,74.654,75.0,13.333,,,,Task 3.2
hyungchan_u2,1,4.228,0.0,,,,,Task 1
hyungchan_u2,1p,,,,,,7.27,Task 1
hyungchan_u2,2,22.752,14.0,7.143,1.0,0.0,,Task 2
hyungchan_u2,2p,,,,,,8.33,Task 2
hyungchan_u2,2u,25.367,14.0,14.286,,,,Task 2
hyungchan_u2,31,69.759,68.0,2.941,5.0,0.0,,Task 3.1
hyungchan_u2,31p,,,,,,24.73,Task 3.1
hyungchan_u2,31u,87.969,68.0,8.824,,,,Task 3.1
hyungchan_u2,32,48.665,75.0,6.667,10.0,0.0,,Task 3.2
hyungchan_u2,32p,,,,,,28.54,Task 3.2
hyungchan_u2,32u,83.192,75.0,20.0,,,,Task 3.2
kevin_EY,1,6.565,0.0,,,,,Task 1
kevin_EY,1p,5.52,0.0,0.0,0.0,0.0,,Task 1
kevin_EY,1p,,,,,,5.09,Task 1
kevin_EY,2,21.771,12.0,8.333,2.0,0.0,,Task 2
kevin_EY,2p,,,,,,6.89,Task 2
kevin_EY,2u,21.07,12.0,33.333,,,,Task 2
kevin_EY,31,65.049,60.0,6.667,2.0,0.0,,Task 3.1
kevin_EY,31p,,,,,,14.59,Task 3.1
kevin_EY,31u,64.649,68.0,14.706,,,,Task 3.1
kevin_EY,32,66.001,75.0,5.333,6.0,1.0,,Task 3.2
kevin_EY,32p,,,,,,16.48,Task 3.2
kevin_EY,32u,73.219,75.0,16.0,,,,Task 3.2
kevin_SA,1,5.309,0.0,,,,,Task 1
kevin_SA,1p,,,,,,4.89,Task 1
kevin_SA,2,17.129,14.0,7.143,0.0,0.0,,Task 2
kevin_SA,2p,,,,,,7.25,Task 2
