user_id,task_name,smartwatch_assisted_time_taken,smartwatch_assisted_message_length,smartwatch_assisted_total_changes,smartwatch_assisted_erroneous_changes,smartwatch_assisted_non_contiguous_errors_per_100_chars,smartwatch_unassisted_time_taken,smartwatch_unassisted_message_length,smartwatch_unassisted_non_contiguous_errors_per_100_chars,phone_time_taken
efe_go,Task 1,3.499,0.0,0.0,0.0,0.0,,,,6.37
efe_go,Task 2,17.313,14.0,1.0,0.0,7.143,18.704,14.0,14.286,8.67
efe_go,Task 3.1,60.333,68.0,4.0,1.0,7.353,61.275,68.0,11.765,14.22
efe_go,Task 3.2,46.207,75.0,9.0,1.0,8.0,47.982,75.0,13.333,16.85
efe_v,Task 1,2.836,0.0,0.0,0.0,0.0,,,,9.03
efe_v,Task 2,12.791,14.0,1.0,0.0,7.143,15.421,14.0,14.286,10.25
efe_v,Task 3.1,62.014,68.0,6.0,0.0,14.706,56.522,60.0,18.333,18.29
efe_v,Task 3.2,59.246,75.0,8.0,0.0,8.0,56.219,75.0,10.667,20.66
hyungchan_u1,Task 1,5.3,0.0,0.0,0.0,0.0,,,,6.05
hyungchan_u1,Task 2,19.043,14.0,0.0,0.0,21.429,19.939,14.0,28.571,7.01
hyungchan_u1,Task 3.1,62.879,68.0,5.0,0.0,5.882,72.4,68.0,13.235,11.57
hyungchan_u1,Task 3.2,73.837,75.0,8.0,0.0,4.0,74.654,75.0,13.333,12.29
hyungchan_u2,Task 1,4.228,0.0,0.0,0.0,0.0,,,,7.27
hyungchan_u2,Task 2,22.752,14.0,1.0,0.0,7.143,25.367,14.0,14.286,8.33
hyungchan_u2,Task 3.1,69.759,68.0,5.0,0.0,2.941,87.969,68.0,8.824,24.73
hyungchan_u2,Task 3.2,48.665,75.0,10.0,0.0,6.667,83.192,75.0,20.0,28.54
kevin_EY,Task 1,6.565,0.0,0.0,0.0,0.0,,,,5.09
kevin_EY,Task 2,21.771,12.0,2.0,0.0,8.333,21.07,12.0,33.333,6.89
kevin_EY,Task 3.1,65.049,60.0,2.0,0.0,6.667,64.649,68.0,14.706,14.59
kevin_EY,Task 3.2,66.001,75.0,6.0,1.0,5.333,73.219,75.0,16.0,16.48
kevin_SA,Task 1,5.309,0.0,0.0,0.0,0.0,,,,4.89
kevin_SA,Task 2,17.129,14.0,0.0,0.0,7.143,22.64,12.0,25.0,7.25
kevin_SA,Task 3.1,63.54,68.0,7.0,0.0,5.882,73.588,68.0,19.118,15.67
kevin_SA,Task 3.2,62.431,75.0,8.0,0.0,9.333,87.616,75.0,24.0,16.42
nividp_U01,Task 1,5.272,0.0,0.0,0.0,0.0,,,,8.83
nividp_U01,Task 2,22.845,14.0,1.0,0.0,28.571,18.135,14.0,21.429,11.61
nividp_U01,Task 3.1,69.932,68.0,5.0,0.0,17.647,52.266,68.0,10.294,23.43
nividp_U01,Task 3.2,79.884,75.0,4.0,1.0,20.0,63.765,75.0,14.667,22.72
nividp_U02,Task 1,2.311,0.0,0.0,0.0,0.0,,,,9.24
nividp_U02,Task 2,17.475,14.0,2.0,0.0,28.571,15.161,14.0,14.286,7.43
nividp_U02,Task 3.1,54.04,68.0,6.0,0.0,5.882,74.247,68.0,20.588,16.58
nividp_U02,Task 3.2,64.308,75.0,6.0,1.0,9.333,67.555,75.0,10.667,19.84
oskar_user1,Task 1,5.739,0.0,0.0,0.0,0.0,,,,7.593
oskar_user1,Task 2,27.131,14.0,0.0,0.0,42.857,21.692,14.0,0.0,9.105
oskar_user1,Task 3.1,77.621,70.0,0.0,0.0,25.714,68.376,66.0,6.061,16.43
oskar_user1,Task 3.2,61.683,75.0,0.0,0.0,6.667,55.188,75.0,4.0,19.84
oskar_user2,Task 1,2.95,0.0,0.0,0.0,0.0,,,,9.204
oskar_user2,Task 2,14.67,14.0,0.0,0.0,0.0,20.319,14.0,21.429,11.304
oskar_user2,Task 3.1,82.947,68.0,0.0,0.0,22.059,61.28,68.0,7.353,14.98
oskar_user2,Task 3.2,68.12,75.0,0.0,0.0,8.0,80.93,75.0,12.0,15.49
ryan_Participant A,Task 1,3.816,0.0,0.0,0.0,0.0,,,,12.6
ryan_Participant A,Task 2,13.827,14.0,1.0,0.0,14.286,11.421,14.0,7.143,8.35
ryan_Participant A,Task 3.1,69.915,68.0,5.0,0.0,30.882,62.03,68.0,8.824,18.01
ryan_Participant A,Task 3.2,60.765,77.0,7.0,0.0,15.584,50.11,75.0,9.333,21.54
ryan_Participant C,Task 1,4.738,0.0,0.0,0.0,0.0,,,,12.5
ryan_Participant C,Task 2,16.791,12.0,2.0,1.0,8.333,17.485,14.0,21.429,13.63
ryan_Participant C,Task 3.1,57.233,68.0,5.0,0.0,11.765,59.432,68.0,10.294,16.76
ryan_Participant C,Task 3.2,64.696,75.0,9.0,1.0,12.0,56.93,75.0,16.0,17.09
